날짜,종가,대비
2021.4.2,1730.59,13.62
2021.4.1,1716.97,29.7
2021.3.31,1687.27,-17.02
2021.3.30,1704.29,-22.88
2021.3.29,1727.17,-1.78
2021.3.26,1728.95,-6.1
2021.3.25,1735.06,4.09
2021.3.24,1730.96,-7.06
2021.3.23,1738.03,5
2021.3.22,1733.03,-8.5
2021.3.19,1741.53,-9.67
2021.3.18,1751.19,15.53
2021.3.17,1735.66,1.59
2021.3.16,1734.07,9.18
2021.3.15,1724.89,14.71
2021.3.12,1710.17,-24.09
2021.3.11,1734.26,20.22
2021.3.10,1714.04,20.89
2021.3.9,1693.15,-12.4
2021.3.8,1705.56,9.18
2021.3.5,1696.38,-20.18
2021.3.4,1716.56,-16.18
2021.3.3,1732.74,11.73
2021.3.2,1721.02,-42.7
2021.2.26,1763.71,-31.59
2021.2.25,1795.31,-13.83
2021.2.24,1809.13,-3.9
2021.2.23,1813.03,19.09
2021.2.22,1793.94,21.24
2021.2.19,1772.7,-11.03
2021.2.18,1783.73,-8.29
2021.2.17,1792.03,-31.5
2021.2.16,1823.52,4.07
2021.2.15,1819.45,-23.39
2021.2.10,1842.84,3.19
2021.2.9,1839.65,24.76
2021.2.8,1814.89,17.79
2021.2.5,1797.11,-26.09
2021.2.4,1823.19,-13.96
2021.2.3,1837.14,-18.65
2021.2.2,1855.8,-9.44
2021.2.1,1865.23,19.42
2021.1.29,1845.82,7.81
2021.1.28,1838.01,-11.48
2021.1.27,1849.49,-5.5
2021.1.26,1854.99,3.44
2021.1.25,1851.56,-9.12
2021.1.22,1860.68,-11.4
2021.1.21,1872.09,18.66
2021.1.20,1853.43,15.22
2021.1.19,1838.21,-0.07
2021.1.18,1838.29,-10.62
2021.1.15,1848.9,5.16
2021.1.14,1843.75,-15.83
2021.1.13,1859.58,0.36
2021.1.12,1859.21,15.25
2021.1.11,1843.96,-63.46
2021.1.8,1907.42,-18.64
2021.1.7,1926.07,-18.91
2021.1.6,1944.97,3.4
2021.1.5,1941.58,18.48
2021.1.4,1923.1,40.84
2020.12.30,1882.26,4.78
2020.12.29,1877.48,-7.79
2020.12.28,1885.27,9.07
2020.12.24,1876.19,11.6
2020.12.23,1864.6,-8.38
2020.12.22,1872.98,-31.06
2020.12.21,1904.05,22.37
2020.12.18,1881.67,11.4
2020.12.17,1870.28,12.56
2020.12.16,1857.71,19.02
