date,lastvalue,difference,diffrate,startvalue,highvalue,lowvalue,volume
5.Dec.97,"1,633.90",20.48,1.27,"1,608.03","1,633.91","1,606.92","663,220,000"
8.Dec.97,"1,651.54",17.64,1.08,"1,639.39","1,652.84","1,639.00","634,420,000"
9.Dec.97,"1,620.55",-30.99,-1.88,"1,636.97","1,636.97","1,619.83","802,080,000"
10.Dec.97,"1,596.61",-23.94,-1.48,"1,611.88","1,621.19","1,585.15","741,630,000"
11.Dec.97,"1,558.54",-38.07,-2.38,"1,577.55","1,596.60","1,550.76","823,740,000"
12.Dec.97,"1,536.58",-21.96,-1.41,"1,564.06","1,567.82","1,533.62","760,430,000"
15.Dec.97,"1,536.56",-0.02,0.00,"1,540.41","1,542.72","1,515.69","792,570,000"
16.Dec.97,"1,553.00",16.44,1.07,"1,541.25","1,561.18","1,539.07","784,930,000"
17.Dec.97,"1,547.37",-5.63,-0.36,"1,563.53","1,568.54","1,546.56","757,460,000"
18.Dec.97,"1,523.19",-24.18,-1.56,"1,548.67","1,549.55","1,516.41","740,420,000"
19.Dec.97,"1,524.74",1.55,0.10,"1,506.86","1,525.88","1,486.51","794,540,000"
22.Dec.97,"1,532.06",7.32,0.48,"1,533.46","1,544.45","1,526.82","627,100,000"
23.Dec.97,"1,509.91",-22.15,-1.45,"1,531.60","1,533.11","1,509.25","614,300,000"
24.Dec.97,"1,499.53",-10.38,-0.69,"1,516.66","1,518.21","1,497.67","312,170,000"
26.Dec.97,"1,511.38",11.85,0.79,"1,501.15","1,511.38","1,501.15","204,700,000"
29.Dec.97,"1,537.45",26.07,1.72,"1,521.79","1,537.49","1,521.79","645,090,000"
30.Dec.97,"1,565.03",27.58,1.79,"1,539.55","1,565.48","1,539.55","758,360,000"
31.Dec.97,"1,570.35",5.32,0.34,"1,565.87","1,580.73","1,560.94","795,460,000"
2.Jan.98,"1,581.53",11.18,0.71,"1,574.10","1,581.53","1,563.77","434,140,000"
5.Jan.98,"1,594.12",12.59,0.80,"1,585.77","1,602.51","1,582.99","681,560,000"
6.Jan.98,"1,580.14",-13.98,-0.88,"1,588.07","1,594.12","1,576.26","635,700,000"
7.Jan.98,"1,561.70",-18.44,-1.17,"1,574.01","1,580.14","1,547.52","691,340,000"
8.Jan.98,"1,555.54",-6.16,-0.39,"1,555.91","1,566.56","1,550.70","645,050,000"
9.Jan.98,"1,503.22",-52.32,-3.36,"1,555.54","1,555.66","1,497.37","813,460,000"
12.Jan.98,"1,507.58",4.36,0.29,"1,482.01","1,507.72","1,465.61","698,330,000"
13.Jan.98,"1,541.63",34.05,2.26,"1,519.62","1,542.18","1,519.62","742,030,000"
14.Jan.98,"1,548.76",7.13,0.46,"1,549.80","1,550.71","1,535.98","691,680,000"
15.Jan.98,"1,547.06",-1.70,-0.11,"1,545.82","1,554.85","1,541.29","659,450,000"
16.Jan.98,"1,562.88",15.82,1.02,"1,557.69","1,564.96","1,557.69","701,230,000"
20.Jan.98,"1,590.14",27.26,1.74,"1,567.80","1,590.14","1,567.80","715,490,000"
21.Jan.98,"1,587.92",-2.22,-0.14,"1,583.40","1,590.48","1,578.43","716,850,000"
22.Jan.98,"1,576.51",-11.41,-0.72,"1,577.88","1,585.05","1,573.28","660,500,000"
23.Jan.98,"1,575.93",-0.58,-0.04,"1,582.52","1,584.95","1,568.18","647,390,000"
26.Jan.98,"1,561.46",-14.47,-0.92,"1,578.33","1,579.31","1,556.91","588,240,000"
27.Jan.98,"1,578.90",17.44,1.12,"1,562.23","1,580.04","1,559.26","680,550,000"
28.Jan.98,"1,610.82",31.92,2.02,"1,586.49","1,611.50","1,586.49","777,610,000"
29.Jan.98,"1,619.49",8.67,0.54,"1,609.08","1,629.54","1,608.35","827,970,000"
30.Jan.98,"1,619.36",-0.13,-0.01,"1,624.53","1,628.20","1,615.42","729,510,000"
2.Feb.98,"1,652.89",33.53,2.07,"1,640.06","1,653.94","1,640.06","808,120,000"
3.Feb.98,"1,666.34",13.45,0.81,"1,654.23","1,666.54","1,649.31","764,140,000"
4.Feb.98,"1,680.44",14.10,0.85,"1,663.46","1,681.17","1,661.11","820,450,000"
5.Feb.98,"1,676.90",-3.54,-0.21,"1,692.22","1,701.20","1,675.10","865,990,000"
6.Feb.98,"1,694.35",17.45,1.04,"1,675.51","1,694.56","1,675.40","753,820,000"
9.Feb.98,"1,690.43",-3.92,-0.23,"1,699.92","1,701.58","1,686.21","688,620,000"
10.Feb.98,"1,709.04",18.61,1.10,"1,692.29","1,713.54","1,692.11","835,560,000"
11.Feb.98,"1,708.55",-0.49,-0.03,"1,708.99","1,714.15","1,703.78","760,090,000"
12.Feb.98,"1,714.34",5.79,0.34,"1,702.89","1,714.62","1,692.37","769,560,000"
13.Feb.98,"1,710.42",-3.92,-0.23,"1,709.40","1,715.11","1,707.60","683,180,000"
17.Feb.98,"1,703.43",-6.99,-0.41,"1,721.02","1,723.40","1,700.91","691,970,000"
18.Feb.98,"1,715.73",12.30,0.72,"1,702.79","1,715.74","1,701.36","687,480,000"
19.Feb.98,"1,727.01",11.28,0.66,"1,723.90","1,730.88","1,717.47","738,870,000"
20.Feb.98,"1,728.13",1.12,0.06,"1,731.84","1,731.84","1,713.84","745,760,000"
23.Feb.98,"1,751.76",23.63,1.37,"1,744.21","1,751.76","1,735.57","731,710,000"
